date,headline,description,content,url,source,published_at,sentiment,sentiment_score,positive_confidence,negative_confidence,neutral_confidence,stock_movement,volume,price_change,market_cap,company,query
2025-05-25,Walmart stock rises on positive outlook,Walmart stock rises on positive outlook according to TheStreet analysis.,Walmart stock rises on positive outlook. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://thestreet.com/article/85418,TheStreet,2025-05-25T13:23:50Z,positive,0.7505356562777425,0.7356578928475725,0.07342879538761088,0.1909133117648166,up,18219277,0.0769907411354804,518117973065.11804,Adobe Inc.,AAPL
2025-05-28,Goldman Sachs misses earnings expectations,Goldman Sachs misses earnings expectations according to Benzinga analysis.,Goldman Sachs misses earnings expectations. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://benzinga.com/article/36660,Benzinga,2025-05-28T13:23:50Z,negative,0.2402017109298834,0.14858470692400733,0.7842724509936155,0.06714284208237727,down,48364509,-0.14447168437853475,865049327001.1321,Oracle Corporation,GOOGL
2025-05-09,Verizon stock drops on subscriber losses,Verizon stock drops on subscriber losses according to Bloomberg analysis.,Verizon stock drops on subscriber losses. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://bloomberg.com/article/47567,Bloomberg,2025-05-09T13:23:50Z,negative,0.07035111773155157,0.11174434391565799,0.8238918090356487,0.06436384704869325,down,18375113,-0.007927833469473455,116783000657.03778,Adobe Inc.,META
2025-05-04,Amazon expands into new market,Amazon expands into new market according to Seeking Alpha analysis.,Amazon expands into new market. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://seekingalpha.com/article/36029,Seeking Alpha,2025-05-04T13:23:50Z,neutral,0.5283187577685636,0.24352906002377656,0.1875604464857747,0.5689104934904486,up,19331726,0.0956356930071281,505764990627.07605,Microsoft Corporation,MSFT
2025-05-16,AMD announces new graphics cards,AMD announces new graphics cards according to Motley Fool analysis.,AMD announces new graphics cards. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://motleyfool.com/article/54413,Motley Fool,2025-05-16T13:23:50Z,neutral,0.6062629323384698,0.26325702660190686,0.31478643513721355,0.4219565382608796,flat,19279553,0.08184683400504134,460877312379.8364,Tesla Inc.,AMZN
2025-06-26,Oracle posts better-than-expected earnings,Oracle posts better-than-expected earnings according to TheStreet analysis.,Oracle posts better-than-expected earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://thestreet.com/article/36431,TheStreet,2025-06-26T13:23:50Z,positive,0.8415577842992257,0.6716471898747277,0.09790025864988132,0.23045255147539095,up,14245696,-0.05377717786856176,1449120922555.6199,Tesla Inc.,AAPL
2025-06-10,NVIDIA stock falls on chip shortage,NVIDIA stock falls on chip shortage according to MarketWatch analysis.,NVIDIA stock falls on chip shortage. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://marketwatch.com/article/71788,MarketWatch,2025-06-10T13:23:50Z,negative,0.19145973803075383,0.17683185495960008,0.7220265471117642,0.10114159792863565,down,48123764,-0.1039025885516662,907933575575.9601,Bank of America,NVDA
2025-05-31,"Tesla beats quarterly expectations, stock rallies 15%","Tesla beats quarterly expectations, stock rallies 15% according to Financial Times analysis.","Tesla beats quarterly expectations, stock rallies 15%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://financialtimes.com/article/64615,Financial Times,2025-05-31T13:23:50Z,positive,0.7886291872296982,0.6376759578013642,0.18020830697374562,0.1821157352248901,up,37210403,0.01752380177495938,451854744745.02716,Microsoft Corporation,NVDA
2025-06-27,Salesforce beats revenue expectations,Salesforce beats revenue expectations according to Benzinga analysis.,Salesforce beats revenue expectations. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://benzinga.com/article/62648,Benzinga,2025-06-27T13:23:50Z,positive,0.7893795789907431,0.6825212699279157,0.10958288377999549,0.20789584629208877,up,14476005,-0.06250122638720902,1390268790366.9585,Netflix Inc.,NVDA
2025-06-20,IBM stock declines on cloud competition,IBM stock declines on cloud competition according to Bloomberg analysis.,IBM stock declines on cloud competition. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://bloomberg.com/article/59153,Bloomberg,2025-06-20T13:23:50Z,negative,0.12261350475875823,0.23785201966677397,0.6181114737123395,0.1440365066208865,down,38712981,-0.08689512602433942,692687118722.0343,Apple Inc.,AAPL
2025-06-16,Salesforce beats revenue expectations,Salesforce beats revenue expectations according to Reuters analysis.,Salesforce beats revenue expectations. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://reuters.com/article/81626,Reuters,2025-06-16T13:23:50Z,positive,0.8973542140690501,0.6627675491674293,0.10720886318725163,0.2300235876453191,up,9439469,0.05795818224680427,1643060015291.7231,Goldman Sachs Group,GOOGL
2025-05-29,"Netflix loses subscribers, stock crashes 25%","Netflix loses subscribers, stock crashes 25% according to Motley Fool analysis.","Netflix loses subscribers, stock crashes 25%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://motleyfool.com/article/56163,Motley Fool,2025-05-29T13:23:50Z,negative,0.23498137455874218,0.1570017107884364,0.6273659017972152,0.21563238741434845,down,43307399,0.06422607963972835,1603654438056.514,Bank of America,NVDA
2025-07-11,"Tesla faces regulatory scrutiny, stock drops 10%","Tesla faces regulatory scrutiny, stock drops 10% according to Wall Street Journal analysis.","Tesla faces regulatory scrutiny, stock drops 10%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://wallstreetjournal.com/article/62579,Wall Street Journal,2025-07-11T13:23:50Z,negative,0.09919984429684917,0.12254703893249765,0.7273800328861268,0.15007292818137558,down,42528843,-0.10213659596604349,1743695349617.8113,Adobe Inc.,GOOGL
2025-06-25,IBM posts positive earnings surprise,IBM posts positive earnings surprise according to TheStreet analysis.,IBM posts positive earnings surprise. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://thestreet.com/article/40027,TheStreet,2025-06-25T13:23:50Z,positive,0.6562583417874615,0.7432542633653104,0.10874856727410992,0.14799716936057955,up,39233146,0.045097705904081076,399885359407.36115,Oracle Corporation,AAPL
2025-05-25,Verizon expands 5G network,Verizon expands 5G network according to Bloomberg analysis.,Verizon expands 5G network. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://bloomberg.com/article/55350,Bloomberg,2025-05-25T13:23:50Z,neutral,0.5706050895997258,0.29038492149293915,0.24720165057307134,0.46241342793398965,up,3363999,0.026417513427023753,59759497067.25808,Amazon.com Inc.,MSFT
2025-07-16,NVIDIA announces new chip architecture,NVIDIA announces new chip architecture according to Zacks analysis.,NVIDIA announces new chip architecture. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://zacks.com/article/43142,Zacks,2025-07-16T13:23:50Z,neutral,0.4897438421060746,0.2944290821053893,0.19817729608502818,0.5073936218095826,flat,12950831,0.030556615098602552,1265448525919.386,Microsoft Corporation,GOOGL
2025-05-02,Salesforce acquires new company,Salesforce acquires new company according to Investor's Business Daily analysis.,Salesforce acquires new company. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://investor'sbusinessdaily.com/article/74674,Investor's Business Daily,2025-05-02T13:23:50Z,neutral,0.3792180177660656,0.23947606269388302,0.2715019071846126,0.4890220301215044,flat,28364435,0.027885255430478234,327884221297.4605,Microsoft Corporation,GOOGL
2025-07-20,Apple stock surges to new record high after strong earnings,Apple stock surges to new record high after strong earnings according to Benzinga analysis.,Apple stock surges to new record high after strong earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://benzinga.com/article/52240,Benzinga,2025-07-20T13:23:50Z,positive,0.689262098215505,0.7892063215995015,0.1246843152510316,0.08610936314946682,flat,48230658,-0.017392687865142753,662447836615.3547,JPMorgan Chase,GOOGL
2025-06-16,Meta Platforms stock soars after strong ad revenue,Meta Platforms stock soars after strong ad revenue according to Barron's analysis.,Meta Platforms stock soars after strong ad revenue. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://barron's.com/article/77278,Barron's,2025-06-16T13:23:50Z,positive,0.7257583346226257,0.7044259790088135,0.12527608358862144,0.17029793740256502,flat,33446436,0.010053577589908685,1563798869360.2136,Oracle Corporation,NFLX
2025-05-22,Verizon stock gains on strong wireless growth,Verizon stock gains on strong wireless growth according to Reuters analysis.,Verizon stock gains on strong wireless growth. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://reuters.com/article/74178,Reuters,2025-05-22T13:23:50Z,positive,0.6671260568267945,0.7200773330085417,0.22504692074505253,0.054875746246405774,up,26560098,-0.014340291514969405,1867816160038.282,Advanced Micro Devices,NFLX
2025-06-17,Verizon stock drops on subscriber losses,Verizon stock drops on subscriber losses according to Bloomberg analysis.,Verizon stock drops on subscriber losses. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://bloomberg.com/article/89141,Bloomberg,2025-06-17T13:23:50Z,negative,0.33953560893081364,0.04575559173017762,0.7946687751159407,0.1595756331538817,flat,37693176,0.02403366890864042,509194935215.089,NVIDIA Corporation,AMZN
2025-05-05,Salesforce beats revenue expectations,Salesforce beats revenue expectations according to Bloomberg analysis.,Salesforce beats revenue expectations. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://bloomberg.com/article/57414,Bloomberg,2025-05-05T13:23:50Z,positive,0.9319459375780526,0.8281379110807441,0.0833081381144882,0.08855395080476777,up,4122951,-0.10315084656234783,469888025376.3225,Apple Inc.,META
2025-06-27,Walmart opens new store locations,Walmart opens new store locations according to Reuters analysis.,Walmart opens new store locations. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://reuters.com/article/89134,Reuters,2025-06-27T13:23:50Z,neutral,0.4232441871267123,0.26734905432775136,0.27227462952795645,0.4603763161442921,flat,17040922,0.12928460865209332,1379363975312.0908,IBM Corporation,NVDA
2025-07-17,Intel unveils new processor line,Intel unveils new processor line according to Investor's Business Daily analysis.,Intel unveils new processor line. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://investor'sbusinessdaily.com/article/95150,Investor's Business Daily,2025-07-17T13:23:50Z,neutral,0.3819779090923972,0.28934863410476436,0.34896357878251266,0.361687787112723,up,37181576,0.1099316002582936,1986680537779.8984,Salesforce Inc.,AAPL
2025-07-29,"Microsoft reports record profits, shares jump 8%","Microsoft reports record profits, shares jump 8% according to Barron's analysis.","Microsoft reports record profits, shares jump 8%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://barron's.com/article/61924,Barron's,2025-07-29T13:23:50Z,positive,0.7481099484689716,0.659042433708475,0.17423079240349582,0.16672677388802903,up,5031464,-0.05484128497038042,1737932350455.6016,Bank of America,META
2025-05-19,Bank of America reports losses in trading division,Bank of America reports losses in trading division according to Zacks analysis.,Bank of America reports losses in trading division. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://zacks.com/article/70233,Zacks,2025-05-19T13:23:50Z,negative,0.1641259112698393,0.1454749704550148,0.7095625161505917,0.14496251339439348,down,30718818,-0.08181911182105456,147318651613.11884,Adobe Inc.,MSFT
2025-05-12,"Tesla faces regulatory scrutiny, stock drops 10%","Tesla faces regulatory scrutiny, stock drops 10% according to Benzinga analysis.","Tesla faces regulatory scrutiny, stock drops 10%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://benzinga.com/article/83770,Benzinga,2025-05-12T13:23:50Z,negative,0.33544356789979735,0.16796064261422544,0.6691919416970806,0.16284741568869399,down,23315019,-0.10530244320894158,1053720970740.6501,Amazon.com Inc.,NVDA
2025-06-24,Adobe stock declines on subscription slowdown,Adobe stock declines on subscription slowdown according to Motley Fool analysis.,Adobe stock declines on subscription slowdown. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://motleyfool.com/article/55379,Motley Fool,2025-06-24T13:23:50Z,negative,0.33665710878648036,0.07022783628804173,0.8623378377349883,0.06743432597697,flat,30419310,-0.12861591898345082,1909365400036.5815,IBM Corporation,GOOGL
2025-06-24,IBM stock declines on cloud competition,IBM stock declines on cloud competition according to Zacks analysis.,IBM stock declines on cloud competition. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://zacks.com/article/22289,Zacks,2025-06-24T13:23:50Z,negative,0.19576152775589767,0.11283325658546448,0.7630867333859117,0.12408001002862383,down,27417902,0.009678064001712061,1162283174472.3328,Cisco Systems,AAPL
2025-05-07,Meta Platforms updates privacy policy,Meta Platforms updates privacy policy according to MarketWatch analysis.,Meta Platforms updates privacy policy. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://marketwatch.com/article/69189,MarketWatch,2025-05-07T13:23:50Z,neutral,0.6078247379841768,0.33161728934300344,0.21826482712362996,0.4501178835333666,flat,21668329,-0.0944314660357771,1835587225853.5833,Bank of America,AAPL
2025-05-03,Salesforce beats revenue expectations,Salesforce beats revenue expectations according to Seeking Alpha analysis.,Salesforce beats revenue expectations. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://seekingalpha.com/article/81831,Seeking Alpha,2025-05-03T13:23:50Z,positive,0.9354210026619971,0.6391315450291247,0.17510998947181805,0.18575846549905714,up,41071048,0.08812315511415489,1293565220932.2974,Walmart Inc.,NVDA
2025-05-22,Google parent Alphabet reports lower than expected earnings,Google parent Alphabet reports lower than expected earnings according to Reuters analysis.,Google parent Alphabet reports lower than expected earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://reuters.com/article/27633,Reuters,2025-05-22T13:23:50Z,negative,0.2695874202756904,0.17853479326731672,0.6496822547430023,0.17178295198968085,down,5428690,0.0371577974029719,904083589795.721,Tesla Inc.,AAPL
2025-07-05,"AMD beats earnings estimates, stock rallies","AMD beats earnings estimates, stock rallies according to Bloomberg analysis.","AMD beats earnings estimates, stock rallies. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://bloomberg.com/article/14358,Bloomberg,2025-07-05T13:23:50Z,positive,0.7436815358146388,0.7133719348636383,0.09727787346151481,0.18935019167484685,up,30565896,-0.032728201228345605,1189358194037.16,Tesla Inc.,GOOGL
2025-06-28,Walmart stock falls on poor quarterly results,Walmart stock falls on poor quarterly results according to Wall Street Journal analysis.,Walmart stock falls on poor quarterly results. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://wallstreetjournal.com/article/64253,Wall Street Journal,2025-06-28T13:23:50Z,negative,0.2652793296974529,0.1622731562419914,0.772573108337971,0.06515373542003769,down,45494354,0.03096582306401166,675117038378.0853,Salesforce Inc.,AMZN
2025-07-25,Apple stock surges to new record high after strong earnings,Apple stock surges to new record high after strong earnings according to Benzinga analysis.,Apple stock surges to new record high after strong earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://benzinga.com/article/66549,Benzinga,2025-07-25T13:23:50Z,positive,0.7703563742116948,0.7085068001786683,0.11844794710263482,0.17304525271869692,up,22088012,0.0057179372724810995,136157514620.83759,Goldman Sachs Group,NVDA
2025-07-22,NVIDIA stock falls on chip shortage,NVIDIA stock falls on chip shortage according to Financial Times analysis.,NVIDIA stock falls on chip shortage. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://financialtimes.com/article/70963,Financial Times,2025-07-22T13:23:50Z,negative,0.14990057391745937,0.1454301048583062,0.7103493945200998,0.14422050062159394,down,47851280,0.14864414721127708,893258350044.0867,NVIDIA Corporation,GOOGL
2025-07-27,Oracle posts better-than-expected earnings,Oracle posts better-than-expected earnings according to Zacks analysis.,Oracle posts better-than-expected earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://zacks.com/article/82982,Zacks,2025-07-27T13:23:50Z,positive,0.8107483053419244,0.6482496030874088,0.14436027441424415,0.2073901224983472,up,17413328,-0.05974406749402347,1962491512314.2634,Salesforce Inc.,AMZN
2025-06-27,Google parent Alphabet holds annual meeting,Google parent Alphabet holds annual meeting according to Yahoo Finance analysis.,Google parent Alphabet holds annual meeting. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://yahoofinance.com/article/20699,Yahoo Finance,2025-06-27T13:23:50Z,neutral,0.5805799414365526,0.24604410479877112,0.3306998591856406,0.4232560360155884,up,31267797,-0.123262670365195,1510785570573.1191,Intel Corporation,NFLX
2025-06-08,Adobe reports strong subscription growth,Adobe reports strong subscription growth according to Zacks analysis.,Adobe reports strong subscription growth. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://zacks.com/article/74977,Zacks,2025-06-08T13:23:50Z,positive,0.7182071900288296,0.7410764081629054,0.13311049127812746,0.12581310055896716,up,21101880,0.016140672213712876,611743097005.389,Amazon.com Inc.,META
2025-05-03,Meta Platforms stock soars after strong ad revenue,Meta Platforms stock soars after strong ad revenue according to Seeking Alpha analysis.,Meta Platforms stock soars after strong ad revenue. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://seekingalpha.com/article/83861,Seeking Alpha,2025-05-03T13:23:50Z,positive,0.8199726086514255,0.7194862643641655,0.15068579385734007,0.12982794177849447,up,37432549,0.09523491254735747,761865963659.6836,Adobe Inc.,TSLA
2025-07-05,Verizon stock drops on subscriber losses,Verizon stock drops on subscriber losses according to Bloomberg analysis.,Verizon stock drops on subscriber losses. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://bloomberg.com/article/83822,Bloomberg,2025-07-05T13:23:50Z,negative,0.14675839335392454,0.0686146457681119,0.8123028258658737,0.11908252836601448,flat,19029773,0.14268306025797448,1282303182613.3186,Apple Inc.,NFLX
2025-05-23,Intel stock rises on new chip technology,Intel stock rises on new chip technology according to Investor's Business Daily analysis.,Intel stock rises on new chip technology. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://investor'sbusinessdaily.com/article/56659,Investor's Business Daily,2025-05-23T13:23:50Z,positive,0.7024515881781238,0.7822334202944793,0.13516949758224736,0.08259708212327332,flat,36044468,-0.11347142666241755,956989812073.0964,Oracle Corporation,GOOGL
2025-05-08,Salesforce reports disappointing growth,Salesforce reports disappointing growth according to CNBC analysis.,Salesforce reports disappointing growth. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://cnbc.com/article/52913,CNBC,2025-05-08T13:23:50Z,negative,0.31283155777941274,0.10439677158922636,0.8460839948024993,0.04951923360827428,flat,9859690,0.035876386469348875,1300751983703.9087,Alphabet Inc.,MSFT
2025-05-11,Meta Platforms stock soars after strong ad revenue,Meta Platforms stock soars after strong ad revenue according to Benzinga analysis.,Meta Platforms stock soars after strong ad revenue. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://benzinga.com/article/56851,Benzinga,2025-05-11T13:23:50Z,positive,0.8358493254222763,0.7578637386583404,0.14962217160436625,0.09251408973729326,flat,7210715,-0.059017455729721335,202990576210.28275,Apple Inc.,META
2025-07-23,Google parent Alphabet reports stellar earnings,Google parent Alphabet reports stellar earnings according to Motley Fool analysis.,Google parent Alphabet reports stellar earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://motleyfool.com/article/41174,Motley Fool,2025-07-23T13:23:50Z,positive,0.7418760862359834,0.7303519550664758,0.14419112844501233,0.12545691648851195,up,25525886,0.08762809012816294,810192059741.3145,Adobe Inc.,GOOGL
2025-07-25,Google parent Alphabet reports stellar earnings,Google parent Alphabet reports stellar earnings according to Reuters analysis.,Google parent Alphabet reports stellar earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://reuters.com/article/32740,Reuters,2025-07-25T13:23:50Z,positive,0.7748461994539284,0.8269269656454904,0.05980692695711868,0.11326610739739106,up,45194441,0.054292448171473356,380200001501.1797,Salesforce Inc.,MSFT
2025-05-23,Cisco reports strong quarterly results,Cisco reports strong quarterly results according to Bloomberg analysis.,Cisco reports strong quarterly results. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://bloomberg.com/article/47487,Bloomberg,2025-05-23T13:23:50Z,positive,0.6627899627861098,0.7158531124016175,0.10381274284192495,0.18033414475645754,up,3607411,-0.07019421659838578,299326318122.40204,Verizon Communications,AMZN
2025-06-19,"Tesla faces regulatory scrutiny, stock drops 10%","Tesla faces regulatory scrutiny, stock drops 10% according to Reuters analysis.","Tesla faces regulatory scrutiny, stock drops 10%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://reuters.com/article/59723,Reuters,2025-06-19T13:23:50Z,negative,0.16834288357101057,0.11767127992669954,0.6928986273346471,0.18943009273865324,down,10490536,-0.11935514110273857,1317725600268.6797,Microsoft Corporation,NVDA
2025-05-12,Walmart stock rises on positive outlook,Walmart stock rises on positive outlook according to Reuters analysis.,Walmart stock rises on positive outlook. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://reuters.com/article/57684,Reuters,2025-05-12T13:23:50Z,positive,0.7259175298402354,0.696181405074377,0.1794177579340103,0.12440083699161264,flat,49743175,0.11853532221196092,1273702694652.2473,Salesforce Inc.,NVDA
2025-06-02,Google parent Alphabet holds annual meeting,Google parent Alphabet holds annual meeting according to Zacks analysis.,Google parent Alphabet holds annual meeting. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://zacks.com/article/19866,Zacks,2025-06-02T13:23:50Z,neutral,0.36140655447123643,0.26423900645024306,0.25104803530355746,0.48471295824619953,flat,19557968,0.13695041948984402,1475279210558.555,Amazon.com Inc.,AMZN
2025-05-10,Bank of America reports losses in trading division,Bank of America reports losses in trading division according to Barron's analysis.,Bank of America reports losses in trading division. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://barron's.com/article/45144,Barron's,2025-05-10T13:23:50Z,negative,0.15645240807706712,0.11893664291592085,0.6869701121894949,0.19409324489458435,flat,27683911,-0.07048607150249879,42868977100.79471,Goldman Sachs Group,MSFT
2025-06-24,"Tesla faces regulatory scrutiny, stock drops 10%","Tesla faces regulatory scrutiny, stock drops 10% according to Benzinga analysis.","Tesla faces regulatory scrutiny, stock drops 10%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://benzinga.com/article/27153,Benzinga,2025-06-24T13:23:50Z,negative,0.23450389041165998,0.1775551308037631,0.6872290975189936,0.13521577167724325,down,46961405,0.11874437921156458,645108791385.812,Goldman Sachs Group,NFLX
2025-05-13,Intel stock drops on manufacturing delays,Intel stock drops on manufacturing delays according to Benzinga analysis.,Intel stock drops on manufacturing delays. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://benzinga.com/article/87811,Benzinga,2025-05-13T13:23:50Z,negative,0.24694358219945078,0.0746696404822691,0.6926721433737453,0.23265821614398563,flat,26192630,-0.1214964903023086,752609786992.6815,Cisco Systems,NFLX
2025-06-13,NVIDIA announces new chip architecture,NVIDIA announces new chip architecture according to Bloomberg analysis.,NVIDIA announces new chip architecture. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://bloomberg.com/article/25997,Bloomberg,2025-06-13T13:23:50Z,neutral,0.6160774700627809,0.2673664061935883,0.2088990267260064,0.5237345670804051,flat,9568438,0.11378059799935145,517604808963.34436,Salesforce Inc.,NVDA
2025-07-01,Adobe stock declines on subscription slowdown,Adobe stock declines on subscription slowdown according to Yahoo Finance analysis.,Adobe stock declines on subscription slowdown. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://yahoofinance.com/article/65731,Yahoo Finance,2025-07-01T13:23:50Z,negative,0.24684855130432143,0.07800309076155647,0.6966773644821023,0.22531954475634125,flat,36674971,-0.13704787926089648,330464816643.14484,Oracle Corporation,TSLA
2025-07-07,Oracle announces cloud partnership,Oracle announces cloud partnership according to TheStreet analysis.,Oracle announces cloud partnership. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://thestreet.com/article/19496,TheStreet,2025-07-07T13:23:50Z,neutral,0.60221090840336,0.2812733687095302,0.2503404128696002,0.46838621842086964,flat,36908279,0.03358215160119932,212755494404.42743,Bank of America,NVDA
2025-05-02,Goldman Sachs misses earnings expectations,Goldman Sachs misses earnings expectations according to Seeking Alpha analysis.,Goldman Sachs misses earnings expectations. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://seekingalpha.com/article/90102,Seeking Alpha,2025-05-02T13:23:50Z,negative,0.05279948594812799,0.0852202138900832,0.7017098988564007,0.21306988725351603,down,24313511,-0.09181383981966754,1759753155397.9355,Adobe Inc.,TSLA
2025-06-26,JPMorgan Chase posts record profits,JPMorgan Chase posts record profits according to Yahoo Finance analysis.,JPMorgan Chase posts record profits. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://yahoofinance.com/article/46751,Yahoo Finance,2025-06-26T13:23:50Z,positive,0.8116087002029118,0.6337596220077247,0.18379674338663193,0.18244363460564325,up,20565579,0.07372013481936965,405758639770.3096,Verizon Communications,TSLA
2025-05-06,Netflix announces content partnership,Netflix announces content partnership according to Financial Times analysis.,Netflix announces content partnership. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://financialtimes.com/article/69796,Financial Times,2025-05-06T13:23:50Z,neutral,0.6489003012881742,0.23191582521858867,0.2455261199370574,0.5225580548443538,down,49085527,-0.08483727069263683,276507975419.3116,Goldman Sachs Group,MSFT
2025-06-05,"Amazon misses revenue targets, shares decline","Amazon misses revenue targets, shares decline according to MarketWatch analysis.","Amazon misses revenue targets, shares decline. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://marketwatch.com/article/46727,MarketWatch,2025-06-05T13:23:50Z,negative,0.16630207842511824,0.11396688280243436,0.753235734959367,0.1327973822381987,down,20992066,-0.1305439216551095,1160387591068.8345,Amazon.com Inc.,NFLX
2025-06-29,Cisco reports weak quarterly results,Cisco reports weak quarterly results according to MarketWatch analysis.,Cisco reports weak quarterly results. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://marketwatch.com/article/67775,MarketWatch,2025-06-29T13:23:50Z,negative,0.05687984338041261,0.1161441647570529,0.8028545369727449,0.08100129827020222,down,34997463,-0.04972850439118176,1570009057245.8237,IBM Corporation,GOOGL
2025-05-21,"AMD beats earnings estimates, stock rallies","AMD beats earnings estimates, stock rallies according to MarketWatch analysis.","AMD beats earnings estimates, stock rallies. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://marketwatch.com/article/40447,MarketWatch,2025-05-21T13:23:50Z,positive,0.6765801289038852,0.6449260071894847,0.16423177146574486,0.1908422213447704,up,49268283,-0.060166946852434,347786668457.6485,Verizon Communications,META
